,title,movieId,genres,movie_year,title_only,userId,rating
0,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,7439,4.0
1,Zootopia (2016),152081,Action|Adventure|Animation|Children|Comedy,2016.0,Zootopia,7439,4.5
2,Spotlight (2015),142488,Thriller,2015.0,Spotlight,7439,5.0
3,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers,7439,3.5
4,Lady Bird (2017),177615,Comedy,2017.0,Lady Bird,7439,4.0
5,Maze Runner: Scorch Trials (2015),117895,Action|Thriller,2015.0,Maze Runner: Scorch Trials,7439,2.5
6,Kingsman: The Golden Circle (2017),176101,Action|Adventure|Comedy,2017.0,Kingsman: The Golden Circle,7439,4.0
7,Lion (2016),165551,Drama,2016.0,Lion,7439,4.5
8,The Good Dinosaur (2015),136016,Adventure|Animation|Children|Comedy|Fantasy,2015.0,The Good Dinosaur,7439,4.0
9,Bright (2017),182823,Action|Crime|Fantasy,2017.0,Bright,7439,3.5
10,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,144980,4.0
11,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,144980,4.0
12,"Big Short, The (2015)",148626,Drama,2015.0,"Big Short, The",144980,4.0
13,Avengers: Infinity War - Part I (2018),122912,Action|Adventure|Sci-Fi,2018.0,Avengers: Infinity War - Part I,144980,3.5
14,Captain America: Civil War (2016),122920,Action|Sci-Fi|Thriller,2016.0,Captain America: Civil War,144980,3.5
15,Bridge of Spies (2015),143385,Drama|Thriller,2015.0,Bridge of Spies,144980,3.5
16,The Man from U.N.C.L.E. (2015),138036,Action|Adventure|Comedy,2015.0,The Man from U.N.C.L.E.,144980,3.5
17,The Lobster (2015),133771,Comedy|Romance|Sci-Fi,2015.0,The Lobster,144980,3.5
18,X-Men: Apocalypse (2016),122924,Action|Adventure|Fantasy|Sci-Fi,2016.0,X-Men: Apocalypse,144980,3.0
19,Lady Bird (2017),177615,Comedy,2017.0,Lady Bird,144980,3.5
20,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,144980,1.0
21,Snowden (2016),157699,Drama|Thriller,2016.0,Snowden,144980,2.5
22,Southpaw (2015),139642,Action|Drama,2015.0,Southpaw,144980,2.0
