,userId,genres_single,title
0,541,Action,7
1,541,Adventure,8
2,541,Animation,2
3,541,Children,1
4,541,Comedy,2
5,541,Crime,2
6,541,Drama,6
7,541,Fantasy,3
8,541,IMAX,1
9,541,Romance,1
10,541,Sci-Fi,5
11,541,Thriller,2
12,606,Action,5
13,606,Adventure,6
14,606,Animation,5
15,606,Children,4
16,606,Comedy,7
17,606,Crime,2
18,606,Drama,2
19,606,Fantasy,4
20,606,Horror,1
21,606,Sci-Fi,4
22,606,Thriller,4
23,901,(no genres listed),1
24,901,Action,2
25,901,Adventure,1
26,901,Animation,1
27,901,Comedy,3
28,901,Crime,1
29,901,Drama,5
30,901,Horror,1
31,901,Romance,1
32,901,Sci-Fi,3
33,901,Thriller,2
34,906,Action,9
35,906,Adventure,10
36,906,Animation,3
37,906,Children,3
38,906,Comedy,1
39,906,Fantasy,4
40,906,Horror,1
41,906,Sci-Fi,5
42,906,Thriller,2
43,997,Action,2
44,997,Adventure,2
45,997,Animation,1
46,997,Children,1
47,997,Comedy,3
48,997,Crime,1
49,997,Drama,10
50,997,Fantasy,1
51,997,Horror,2
52,997,Mystery,1
53,997,Romance,1
54,997,Sci-Fi,2
55,997,Thriller,4
56,997,Western,1
57,1281,(no genres listed),1
58,1281,Action,3
59,1281,Adventure,3
60,1281,Animation,1
61,1281,Children,1
62,1281,Comedy,2
63,1281,Crime,2
64,1281,Drama,4
65,1281,Fantasy,2
66,1281,Mystery,1
67,1281,Romance,1
68,1281,Thriller,3
69,1281,Western,1
70,1484,Action,5
71,1484,Adventure,3
72,1484,Comedy,5
73,1484,Crime,2
74,1484,Drama,4
75,1484,Fantasy,1
76,1484,Horror,1
77,1484,Romance,2
78,1484,Sci-Fi,2
79,1484,Thriller,3
80,1503,Action,8
81,1503,Adventure,8
82,1503,Children,2
83,1503,Comedy,2
84,1503,Drama,2
85,1503,Fantasy,4
86,1503,IMAX,1
87,1503,Romance,1
88,1503,Sci-Fi,8
89,1503,Thriller,2
90,1745,(no genres listed),1
91,1745,Action,5
92,1745,Adventure,3
93,1745,Comedy,2
94,1745,Crime,4
95,1745,Drama,3
96,1745,Horror,1
97,1745,Mystery,1
98,1745,Romance,1
99,1745,Sci-Fi,1
100,1745,Thriller,3
101,1745,Western,1
102,1748,Action,6
103,1748,Adventure,7
104,1748,Children,1
105,1748,Comedy,1
