movieId,title_only,imdbId
134130,The Martian,3659388
122904,Deadpool,1431045
122882,Mad Max: Fury Road,1392190
134853,Inside Out,2096673
115713,Ex Machina,470752
122886,Star Wars: Episode VII - The Force Awakens,2488496
164179,Arrival,2543164
119145,Kingsman: The Secret Service,2802144
152081,Zootopia,2948356
148626,"Big Short, The",1596363
139385,The Revenant,1663202
122892,Avengers: Age of Ultron,2395427
166528,Rogue One: A Star Wars Story,3748528
168252,Logan,3315342
122918,Guardians of the Galaxy 2,3896198
122922,Doctor Strange,1211837
122912,Avengers: Infinity War - Part I,4154756
122900,Ant-Man,478970
128360,The Hateful Eight,3460252
122920,Captain America: Civil War,3498820
117529,Jurassic World,369610
122916,Thor: Ragnarok,3501632
142488,Spotlight,1895587
168250,Get Out,5052448
176371,Blade Runner 2049,1856101
135133,The Hunger Games: Mockingjay - Part 2,1951266
111781,Mission: Impossible - Rogue Nation,2381249
174055,Dunkirk,5013056
139644,Sicario,3397884
187593,Deadpool 2,5463162
135143,Fantastic Beasts and Where to Find Them,3183660
122926,Untitled Spider-Man Reboot,2250912
143355,Wonder Woman,451279
140174,Room,3170832
152077,10 Cloverfield Lane,1179933
171763,Baby Driver,3890160
166461,Moana,3521164
143385,Bridge of Spies,3682448
177765,Coco,2380307
164909,La La Land,3783958
177593,"Three Billboards Outside Ebbing, Missouri",5027774
138036,The Man from U.N.C.L.E.,1638355
179819,Star Wars: The Last Jedi,2527336
136020,Spectre,2379713
122906,Black Panther,1825683
158238,The Nice Guys,3799694
157296,Finding Dory,2277860
195159,Spider-Man: Into the Spider-Verse,4633694
166635,Passengers,1355644
140110,The Intern,2361509
187541,Incredibles 2,3606756
133771,The Lobster,3464902
122924,X-Men: Apocalypse,3385516
166643,Hidden Figures,4846340
122914,Avengers: Infinity War - Part II,4154796
135536,Suicide Squad,1386697
136864,Batman v Superman: Dawn of Justice,2975590
135569,Star Trek Beyond,2660888
163645,Hacksaw Ridge,2119532
168248,John Wick: Chapter Two,4425200
166534,Split,4972582
120466,Chappie,1823672
134368,Spy,3079380
130634,Furious 7,2820852
159093,Now You See Me 2,3110958
175303,It,1396484
135887,Minions,2293640
130490,Insurgent,2908446
162606,The Accountant,2140479
192803,Bohemian Rhapsody,1727824
180031,The Shape of Water,5580390
137857,The Jungle Book,3040964
