,userId,genres_single,title,title085,title070,title050
0,541,Action,7,6,5,2
1,541,Adventure,8,6,5,2
6,541,Drama,6,6,5,2
10,541,Sci-Fi,5,6,5,2
12,606,Action,5,6,5,4
13,606,Adventure,6,6,5,4
14,606,Animation,5,6,5,4
16,606,Comedy,7,6,5,4
24,901,Action,2,3,2,1
27,901,Comedy,3,3,2,1
29,901,Drama,5,3,2,1
32,901,Sci-Fi,3,3,2,1
33,901,Thriller,2,3,2,1
34,906,Action,9,9,5,3
35,906,Adventure,10,9,5,3
41,906,Sci-Fi,5,9,5,3
43,997,Action,2,3,2,1
44,997,Adventure,2,3,2,1
47,997,Comedy,3,3,2,1
49,997,Drama,10,3,2,1
51,997,Horror,2,3,2,1
54,997,Sci-Fi,2,3,2,1
55,997,Thriller,4,3,2,1
58,1281,Action,3,3,2,2
59,1281,Adventure,3,3,2,2
62,1281,Comedy,2,3,2,2
63,1281,Crime,2,3,2,2
64,1281,Drama,4,3,2,2
65,1281,Fantasy,2,3,2,2
68,1281,Thriller,3,3,2,2
70,1484,Action,5,5,3,2
71,1484,Adventure,3,5,3,2
72,1484,Comedy,5,5,3,2
74,1484,Drama,4,5,3,2
79,1484,Thriller,3,5,3,2
80,1503,Action,8,8,4,2
81,1503,Adventure,8,8,4,2
85,1503,Fantasy,4,8,4,2
88,1503,Sci-Fi,8,8,4,2
91,1745,Action,5,3,3,1
92,1745,Adventure,3,3,3,1
94,1745,Crime,4,3,3,1
95,1745,Drama,3,3,3,1
100,1745,Thriller,3,3,3,1
102,1748,Action,6,7,6,3
103,1748,Adventure,7,7,6,3
107,1748,Drama,9,7,6,3
112,1748,Sci-Fi,8,7,6,3
114,1920,Action,6,5,4,2
115,1920,Adventure,4,5,4,2
118,1920,Drama,5,5,4,2
122,1920,Sci-Fi,5,5,4,2
125,2345,Action,5,5,4,3
126,2345,Adventure,4,5,4,3
129,2345,Comedy,5,5,4,3
133,2345,Sci-Fi,5,5,4,3
135,2389,Action,3,3,2,2
137,2389,Comedy,2,3,2,2
138,2389,Crime,3,3,2,2
139,2389,Drama,3,3,2,2
140,2389,Fantasy,2,3,2,2
142,2389,Mystery,2,3,2,2
143,2389,Romance,2,3,2,2
144,2389,Sci-Fi,2,3,2,2
145,2389,Thriller,2,3,2,2
146,2403,Action,8,8,4,2
147,2403,Adventure,8,8,4,2
151,2403,Drama,4,8,4,2
152,2403,Fantasy,4,8,4,2
155,2403,Sci-Fi,5,8,4,2
157,2738,Action,5,5,2,2
158,2738,Adventure,4,5,2,2
161,2738,Drama,2,5,2,2
162,2738,Fantasy,2,5,2,2
165,2738,Sci-Fi,5,5,2,2
166,2738,Thriller,2,5,2,2
168,3150,Action,8,7,4,2
169,3150,Adventure,7,7,4,2
