,title,movieId,genres,movie_year,title_only
0,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian
1,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool
2,Mad Max: Fury Road (2015),122882,Action|Adventure|Sci-Fi|Thriller,2015.0,Mad Max: Fury Road
3,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out
4,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina
5,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens
6,Arrival (2016),164179,Sci-Fi,2016.0,Arrival
7,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service
8,Zootopia (2016),152081,Action|Adventure|Animation|Children|Comedy,2016.0,Zootopia
9,"Big Short, The (2015)",148626,Drama,2015.0,"Big Short, The"
10,The Revenant (2015),139385,Adventure|Drama,2015.0,The Revenant
11,Avengers: Age of Ultron (2015),122892,Action|Adventure|Sci-Fi,2015.0,Avengers: Age of Ultron
12,Rogue One: A Star Wars Story (2016),166528,Action|Adventure|Fantasy|Sci-Fi,2016.0,Rogue One: A Star Wars Story
13,Logan (2017),168252,Action|Sci-Fi,2017.0,Logan
14,Guardians of the Galaxy 2 (2017),122918,Action|Adventure|Sci-Fi,2017.0,Guardians of the Galaxy 2
15,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange
16,Avengers: Infinity War - Part I (2018),122912,Action|Adventure|Sci-Fi,2018.0,Avengers: Infinity War - Part I
17,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man
18,The Hateful Eight (2015),128360,Western,2015.0,The Hateful Eight
19,Captain America: Civil War (2016),122920,Action|Sci-Fi|Thriller,2016.0,Captain America: Civil War
20,Jurassic World (2015),117529,Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,Jurassic World
21,Thor: Ragnarok (2017),122916,Action|Adventure|Sci-Fi,2017.0,Thor: Ragnarok
22,Spotlight (2015),142488,Thriller,2015.0,Spotlight
23,Get Out (2017),168250,Horror,2017.0,Get Out
24,Blade Runner 2049 (2017),176371,Sci-Fi,2017.0,Blade Runner 2049
25,The Hunger Games: Mockingjay - Part 2 (2015),135133,Adventure|Sci-Fi,2015.0,The Hunger Games: Mockingjay - Part 2
26,Mission: Impossible - Rogue Nation (2015),111781,Action|Adventure|Thriller,2015.0,Mission: Impossible - Rogue Nation
27,Dunkirk (2017),174055,Action|Drama|Thriller|War,2017.0,Dunkirk
28,Sicario (2015),139644,Crime|Drama|Mystery,2015.0,Sicario
29,Deadpool 2 (2018),187593,Action|Comedy|Sci-Fi,2018.0,Deadpool 2
30,Fantastic Beasts and Where to Find Them (2016),135143,Fantasy,2016.0,Fantastic Beasts and Where to Find Them
31,Untitled Spider-Man Reboot (2017),122926,Action|Adventure|Fantasy,2017.0,Untitled Spider-Man Reboot
32,Wonder Woman (2017),143355,Action|Adventure|Fantasy,2017.0,Wonder Woman
33,Room (2015),140174,Drama,2015.0,Room
34,10 Cloverfield Lane (2016),152077,Thriller,2016.0,10 Cloverfield Lane
35,Baby Driver (2017),171763,Action|Crime|Thriller,2017.0,Baby Driver
36,Moana (2016),166461,Adventure|Animation|Children|Comedy|Fantasy,2016.0,Moana
37,Bridge of Spies (2015),143385,Drama|Thriller,2015.0,Bridge of Spies
38,Coco (2017),177765,Adventure|Animation|Children,2017.0,Coco
39,La La Land (2016),164909,Comedy|Drama|Romance,2016.0,La La Land
40,"Three Billboards Outside Ebbing, Missouri (2017)",177593,Crime|Drama,2017.0,"Three Billboards Outside Ebbing, Missouri"
41,The Man from U.N.C.L.E. (2015),138036,Action|Adventure|Comedy,2015.0,The Man from U.N.C.L.E.
42,Star Wars: The Last Jedi (2017),179819,Action|Adventure|Fantasy|Sci-Fi,2017.0,Star Wars: The Last Jedi
43,Spectre (2015),136020,Action|Adventure|Crime,2015.0,Spectre
44,Black Panther (2017),122906,Action|Adventure|Sci-Fi,2017.0,Black Panther
45,The Nice Guys (2016),158238,Crime|Mystery|Thriller,2016.0,The Nice Guys
46,Finding Dory (2016),157296,Adventure|Animation|Comedy,2016.0,Finding Dory
47,Spider-Man: Into the Spider-Verse (2018),195159,Action|Adventure|Animation|Sci-Fi,2018.0,Spider-Man: Into the Spider-Verse
48,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers
49,The Intern (2015),140110,Comedy,2015.0,The Intern
50,Incredibles 2 (2018),187541,Action|Adventure|Animation|Children,2018.0,Incredibles 2
51,The Lobster (2015),133771,Comedy|Romance|Sci-Fi,2015.0,The Lobster
52,X-Men: Apocalypse (2016),122924,Action|Adventure|Fantasy|Sci-Fi,2016.0,X-Men: Apocalypse
53,Hidden Figures (2016),166643,Drama,2016.0,Hidden Figures
54,Avengers: Infinity War - Part II (2019),122914,Action|Adventure|Sci-Fi,2019.0,Avengers: Infinity War - Part II
55,Suicide Squad (2016),135536,Action|Crime|Sci-Fi,2016.0,Suicide Squad
56,Batman v Superman: Dawn of Justice (2016),136864,Action|Adventure|Fantasy|Sci-Fi,2016.0,Batman v Superman: Dawn of Justice
57,Star Trek Beyond (2016),135569,Action|Adventure|Sci-Fi,2016.0,Star Trek Beyond
58,Hacksaw Ridge (2016),163645,Drama|War,2016.0,Hacksaw Ridge
59,John Wick: Chapter Two (2017),168248,Action|Crime|Thriller,2017.0,John Wick: Chapter Two
60,Split (2017),166534,Drama|Horror|Thriller,2017.0,Split
